code,parent_code,parent_name,top_letter,top_name,descriptor_bare,descriptor_prefixed
Z11,Z1,Cultural Economics; Economic Sociology; Economic Anthropology,Z,Other Special Topics,Economics of the Arts and Literature,Cultural Economics; Economic Sociology; Economic Anthropology: Economics of the Arts and Literature
Z12,Z1,Cultural Economics; Economic Sociology; Economic Anthropology,Z,Other Special Topics,Religion,Cultural Economics; Economic Sociology; Economic Anthropology: Religion
Z13,Z1,Cultural Economics; Economic Sociology; Economic Anthropology,Z,Other Special Topics,Economic Sociology; Economic Anthropology; Language; Social and Economic Stratification,Cultural Economics; Economic Sociology; Economic Anthropology: Economic Sociology; Economic Anthropology; Language; Social and Economic Stratification
Z18,Z1,Cultural Economics; Economic Sociology; Economic Anthropology,Z,Other Special Topics,Public Policy,Cultural Economics; Economic Sociology; Economic Anthropology: Public Policy
Z19,Z1,Cultural Economics; Economic Sociology; Economic Anthropology,Z,Other Special Topics,Other,Cultural Economics; Economic Sociology; Economic Anthropology: Other
Z20,Z2,Sports Economics,Z,Other Special Topics,General,Sports Economics: General
Z21,Z2,Sports Economics,Z,Other Special Topics,Industry Studies,Sports Economics: Industry Studies
Z22,Z2,Sports Economics,Z,Other Special Topics,Labor Issues,Sports Economics: Labor Issues
Z23,Z2,Sports Economics,Z,Other Special Topics,Finance,Sports Economics: Finance
Z28,Z2,Sports Economics,Z,Other Special Topics,Policy,Sports Economics: Policy
Z29,Z2,Sports Economics,Z,Other Special Topics,Other,Sports Economics: Other
Z30,Z3,Tourism Economics,Z,Other Special Topics,General,Tourism Economics: General
Z31,Z3,Tourism Economics,Z,Other Special Topics,Industry Studies,Tourism Economics: Industry Studies
Z32,Z3,Tourism Economics,Z,Other Special Topics,Tourism and Development,Tourism Economics: Tourism and Development
Z33,Z3,Tourism Economics,Z,Other Special Topics,Marketing and Finance,Tourism Economics: Marketing and Finance
Z38,Z3,Tourism Economics,Z,Other Special Topics,Policy,Tourism Economics: Policy
Z39,Z3,Tourism Economics,Z,Other Special Topics,Other,Tourism Economics: Other
