iso3,name_canonical,income_group,alt_names,match_terms
THA,Thailand,UMC,,Thailand
TJK,Tajikistan,LMC,,Tajikistan
TKM,Turkmenistan,UMC,,Turkmenistan
TLS,Timor-Leste,LMC,East Timor,Timor-Leste;East Timor
TON,Tonga,UMC,,Tonga
TUN,Tunisia,LMC,,Tunisia
TUR,Turkiye,UMC,Turkey,Turkiye;Turkey
TUV,Tuvalu,UMC,,Tuvalu
TZA,Tanzania,LMC,Tanzania,Tanzania
UGA,Uganda,LIC,,Uganda
UKR,Ukraine,UMC,,Ukraine
UZB,Uzbekistan,LMC,,Uzbekistan
VCT,St. Vincent and the Grenadines,UMC,St. Vincent;Saint Vincent,St. Vincent and the Grenadines;St. Vincent;Saint Vincent
VNM,Viet Nam,LMC,Viet Nam,Viet Nam
VUT,Vanuatu,LMC,,Vanuatu
WSM,Samoa,UMC,,Samoa
XKX,Kosovo,UMC,,Kosovo
YEM,"Yemen, Rep.",LIC,Yemen,"Yemen, Rep.;Yemen"
ZAF,South Africa,UMC,,South Africa
ZMB,Zambia,LMC,,Zambia
ZWE,Zimbabwe,LMC,,Zimbabwe
