# Authors of papers coded as being about China (CHN in country_iso3_list)
# Source: data/country_classified.csv  |  Total papers: 217
# Format per line: AUTHORS  |  Title  (JOURNAL YEAR, doi:DOI)  [setting; iso3_list]
#----------------------------------------------------------------------------------------------------
Andrés Rodrı́guez-Clare; Mauricio Ulate; Jose P. Vasquez  |  Trade with Nominal Rigidities: Understanding the Unemployment and Welfare Effects of the China Shock  (JPE 2025, doi:10.1086/738344)  [single_country; CHN]
James J. Heckman; Jin Zhou  |  A Study of the Microdynamics of Early-Childhood Learning  (JPE 2025, doi:10.1086/739256)  [single_country; CHN]
Shaoda Wang; David Y. Yang  |  Policy Experimentation in China: The Political Economy of Policy Learning  (JPE 2025, doi:10.1086/734873)  [single_country; CHN]
Panle Jia Barwick; Siyu Chen; Chao Fu; Teng Li  |  Digital Distractions with Peer Influence: The Impact of Mobile App Usage on Academic and Labor Market Outcomes  (QJE 2025, doi:10.1093/qje/qjaf048)  [single_country; CHN]
Zhengyang Jiang; Hongqi Liu; Cameron Peng; Hongjun Yan  |  Investor Memory and Biased Beliefs: Evidence from the Field  (QJE 2025, doi:10.1093/qje/qjaf035)  [single_country; CHN]
Heng Chen; Yuyu Chen; Qingxu Yang  |  Women in the Courtroom: Technology and Justice  (RES 2025, doi:10.1093/restud/rdaf066)  [single_country; CHN]
Jie Bai  |  Melons as Lemons: Asymmetric Information, Consumer Learning and Seller Reputation  (RES 2025, doi:10.1093/restud/rdaf006)  [single_country; CHN]
Panle Jia Barwick; Myrto Kalouptsidi; Nahim Bin Zahur  |  Industrial Policy Implementation: Empirical Evidence from China’s Shipbuilding Industry  (RES 2025, doi:10.1093/restud/rdaf011)  [single_country; CHN]
Hongbin Li; Sai Luo; Yang Wang  |  Curriculum, Political Participation, and Career Choice  (RESTAT 2025, doi:10.1162/rest.a.285)  [single_country; CHN]
Jaya Wen  |  State Employment as a Strategy of Autocratic Control in China  (RESTAT 2025, doi:10.1162/rest_a_01567)  [single_country; CHN]
Jianpeng Deng; Chong Liu; Zi Wang; Yuan Zi  |  Local Corporate Taxes and the Geography of Foreign Multinationals  (RESTAT 2025, doi:10.1162/rest.a.279)  [single_country; CHN]
