iso3,name_canonical,income_group,headcount_pct_2021,headcount_year_used,headcount_reporting_level,headcount_is_interpolated,headcount_is_stale,total_population_2021,poor_population_2021_mn,poverty_data_missing,headcount_pct_2002,headcount_2002_is_interpolated,total_population_2002,poor_population_2002_mn,poverty_reduction_2002_to_2021_mn,poverty_change_data_missing
HTI,Haiti,LMC,53.6700,2012,national,FALSE,TRUE,11374586,6.1047,FALSE,,,8607641,,,TRUE
IDN,Indonesia,UMC,1.7200,2021,national,FALSE,FALSE,276758053,4.7602,FALSE,18.5800,FALSE,222088495,41.2640,36.5038,FALSE
IND,India,LMC,6.6100,2011,national,FALSE,TRUE,1414203896,93.4789,FALSE,,,1097600380,,,TRUE
IRN,"Iran, Islamic Rep.",UMC,0.9900,2021,national,FALSE,FALSE,88455488,0.8757,FALSE,,,68011317,,,TRUE
IRQ,Iraq,UMC,0.0300,2012,national,FALSE,TRUE,43071211,0.0129,FALSE,,,26006559,,,TRUE
JAM,Jamaica,UMC,0.3100,2021,national,FALSE,FALSE,2837682,0.0088,FALSE,2.5300,FALSE,2640572,0.0668,0.0580,FALSE
JOR,Jordan,LMC,0.0400,2010,national,FALSE,TRUE,11066356,0.0044,FALSE,0.1700,FALSE,5616066,0.0095,0.0051,FALSE
KAZ,Kazakhstan,UMC,0.0100,2021,national,FALSE,FALSE,19743603,0.0020,FALSE,5.8000,FALSE,15656677,0.9081,0.9061,FALSE
KEN,Kenya,LMC,22.9400,2021,national,FALSE,FALSE,53219166,12.2085,FALSE,,,32629808,,,TRUE
KGZ,Kyrgyz Republic,LMC,0.8400,2021,national,FALSE,FALSE,6851224,0.0576,FALSE,33.5100,FALSE,4990704,1.6724,1.6148,FALSE
KHM,Cambodia,LMC,,,,,,16974305,,TRUE,,,12855241,,,TRUE
KIR,Kiribati,LMC,1.0300,2019,national,FALSE,FALSE,128377,0.0013,FALSE,,,92264,,,TRUE
LAO,Lao PDR,LMC,4.2400,2018,national,FALSE,FALSE,7453194,0.3160,FALSE,18.6100,FALSE,5610889,1.0442,0.7282,FALSE
LBN,Lebanon,LMC,0.0000,2011,national,FALSE,TRUE,5718122,0.0000,FALSE,,,4463504,,,TRUE
LBR,Liberia,LIC,16.4400,2016,national,FALSE,FALSE,5259323,0.8646,FALSE,,,3094782,,,TRUE
LBY,Libya,UMC,,,,,,7135175,,TRUE,,,5508410,,,TRUE
LCA,St. Lucia,UMC,4.4500,2015,national,FALSE,TRUE,178522,0.0079,FALSE,,,161641,,,TRUE
LKA,Sri Lanka,LMC,0.4100,2019,national,FALSE,FALSE,22156000,0.0908,FALSE,6.4800,FALSE,19805752,1.2834,1.1926,FALSE
LSO,Lesotho,LMC,27.8700,2017,national,FALSE,FALSE,2261542,0.6303,FALSE,62.3000,FALSE,1994679,1.2427,0.6124,FALSE
MAR,Morocco,LMC,0.9200,2013,national,FALSE,TRUE,36954442,0.3400,FALSE,,,29198142,,,TRUE
MDA,Moldova,UMC,0.0000,2021,national,FALSE,FALSE,2595809,0.0000,FALSE,7.8500,FALSE,2911385,0.2285,0.2285,FALSE
MDG,Madagascar,LIC,46.9600,2021,national,FALSE,FALSE,29691083,13.9429,FALSE,,,17549913,,,TRUE
MDV,Maldives,UMC,0.0000,2019,national,FALSE,FALSE,516154,0.0000,FALSE,7.5400,FALSE,291616,0.0220,0.0220,FALSE
